Id,Número De Víctimas,Fecha,Año,Mes,Día,Hora,Cantidad Hora,Lugar Del Hecho,Tipo De Calle,Calle,Cruce,Dirección Normalizada,Comuna,Coordenadas XY (CABA),Pos X,Pos Y,Participantes,Víctima,Acusado,Rol,Sexo,Edad,Barrios,Código Día,Día Semana,Franja Horaria
2016-0067,1,2016-05-21,2016,5,21,2024-01-16 17:00:00,17,Av Lisandro De La Torre Y Saraza,Avenida,"De La Torre, Lisandro",Si,"De La Torre, Lisandro Y Saraza",8,Point (98052.13008621 94912.60873025),-58.48455411,-34.6751276,Moto-Pasajeros,Moto,Pasajeros,Pasajero_Acompañante,Femenino,30,"Villa Soldati, Villa Riachuelo y Villa Lugano.",5,Sábado,Tarde
2016-0068,1,2016-05-22,2016,5,22,2024-01-16 22:00:00,22,Av Figueroa Alcorta Y Av Pueyrredon,Avenida,"Figueroa Alcorta, Pres. Av.",Si,"Figueroa Alcorta, Pres. Av. Y Pueyrredon Av.",2,Point (106673.12856878 104998.99234220),-58.39056593,-34.58418569,Moto-Pasajeros,Moto,Pasajeros,Conductor,Masculino,58,Recoleta.,6,Domingo,Noche
2016-0069,1,2016-05-23,2016,5,23,2024-01-16 03:30:00,3,Av Entre Rios Y Pasaje Filiberto,Avenida,Entre Rios Av.,Si,Entre Rios Av. Y Filiberto,3,Point (106612.54991859 100244.75667446),-58.39118948,-34.62704273,Auto-Cargas,Auto,Cargas,Conductor,Masculino,30,Balvanera y San Cristóbal.,0,Lunes,Madrugada
2016-0073,1,2016-06-11,2016,6,11,2024-01-16 15:00:00,15,Magariños Cervantes 3900,Calle,"Magari?Os Cervantes, A.",No,"Magariã‘Os Cervantes, A. 3900",10,Point (97531.24792840 101000.15957301),-58.49021952,-34.62025108,Moto-Cargas,Moto,Cargas,Conductor,Masculino,23,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro.",5,Sábado,Tarde
2016-0074,1,2016-06-12,2016,6,12,2024-01-16 06:40:00,6,Av Gral Paz Y Rodolfo Scapino,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y Scapino, Rodolfo",8,Point (96731.44252651 94668.88351657),-58.49896559,-34.67732118,Auto-Auto,Auto,Auto,Conductor,Masculino,60,"Villa Soldati, Villa Riachuelo y Villa Lugano.",6,Domingo,Mañana
2016-0075,1,2016-06-12,2016,6,12,2024-01-16 23:13:00,23,Autopista Dellepiane Luis Tte Gral Y Miralla,Autopista,Autopista Dellepiane Luis Tte. Gral.,Si,Autopista Dellepiane Luis Tte. Gral. Y Miralla,8,Point (98963.32962830 95620.61360192),-58.47461076,-34.66874679,Peaton-Auto,Peaton,Auto,Peaton,Masculino,42,"Villa Soldati, Villa Riachuelo y Villa Lugano.",6,Domingo,Noche
2016-0076,1,2016-06-13,2016,6,13,2024-01-16 16:20:00,16,Av San Martin Y Camarones,Avenida,San Martin Av.,Si,San Martin Av. Y Camarones,15,Point (100109.22264405 102851.86942760),-58.46210891,-34.60356211,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Femenino,53,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas.",0,Lunes,Tarde
2016-0077,1,2016-06-13,2016,6,13,2024-01-16 21:52:00,21,Tteg Juan D Peron Y Avda Leandro N Alem,Avenida,"Peron, Juan Domingo, Tte. General",Si,"Peron, Juan Domingo, Tte. General Y Alem, Leandro N. Av.",1,Point (108532.37320501 102648.40418720),-58.3702777,-34.60536123,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Femenino,51,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",0,Lunes,Noche
2016-0078,1,2016-06-13,2016,6,13,2024-01-16 23:01:00,23,Av Belgrano Y Av Jujuy,Avenida,Belgrano Av.,Si,Belgrano Av. Y Jujuy Av.,3,Point (105354.74322032 101621.63182427),-58.40491455,-34.6146383,Moto-Moto,Moto,Moto,Conductor,Masculino,30,Balvanera y San Cristóbal.,0,Lunes,Noche
2016-0079,1,2016-06-16,2016,6,16,2024-01-16 17:13:00,17,Av Del Libertador Y Av Guillermo Udaondo,Avenida,Del Libertador Av.,Si,"Del Libertador Av. Y Udaondo, Guillermo Av.",13,Point (100757.94817512 108943.96108781),-58.45504154,-34.54864492,Auto-Auto,Auto,Auto,Conductor,Femenino,51,"Núñez, Belgrano y Colegiales.",3,Jueves,Tarde
2016-0080,1,2016-06-18,2016,6,18,2024-01-16 06:42:00,6,Av Gral Paz Y Av Rivadavia,Gral Paz,"Paz, Gral. Av.",Si,"Paz, Gral. Av. Y Rivadavia Av.",9,Point (93950.50587297 98883.37644525),-58.52927982,-34.63931752,Auto-Sd,Auto,Sd,Conductor,Masculino,60,"Liniers, Mataderos y Parque Avellaneda.",5,Sábado,Mañana
2016-0081,1,2016-06-22,2016,6,22,2024-01-16 07:42:00,7,Av Crisologo Larralde Y Machain,Avenida,"Larralde, Crisologo Av.",Si,"Larralde, Crisologo Av. Y Machain",12,Point (97805.54034401 107789.89169078),-58.4872106,-34.55904606,Moto-Auto,Moto,Auto,Conductor,Masculino,40,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón.",2,Miércoles,Mañana
2016-0082,1,2016-06-27,2016,6,27,2024-01-16 18:24:00,18,Av La Plata 2384,Avenida,La Plata Av.,No,La Plata Av. 2384,4,Point (103719.51591058 98555.13443768),-58.42273092,-34.64228803,Peaton-Auto,Peaton,Auto,Peaton,Masculino,87,"La Boca, Barracas, Parque Patricios y Nueva Pompeya.",0,Lunes,Noche
2016-0083,1,2016-06-28,2016,6,28,2024-01-16 20:46:00,20,Av Juan B Alberdi Y Puan,Avenida,"Alberdi, Juan Bautista Av.",Si,"Alberdi, Juan Bautista Av. Y Puan",6,Point (101413.41644585 100430.31523295),-58.44788671,-34.62539009,Peaton-Moto,Peaton,Moto,Peaton,Femenino,76,Caballito.,1,Martes,Noche
2016-0084,1,2016-06-29,2016,6,29,2024-01-16 22:00:00,22,Carlos Pellegrini Y Tucuman,Calle,"Pellegrini, Carlos",Si,"Pellegrini, Carlos Y Tucuman",1,Point (107539.54864414 103093.65031518),-58.38110563,-34.60135531,Peaton-Pasajeros,Peaton,Pasajeros,Peaton,Masculino,57,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución.",2,Miércoles,Noche
